start_date,end_date,vax,ymd,vax_lb,vax_ub
2021-11-05,2021-11-08,0.73,2021-11-08,0.696,0.764
2021-10-22,2021-10-25,0.77,2021-10-25,0.736,0.804
2021-10-08,2021-10-11,0.73,2021-10-11,0.696,0.764
2021-09-24,2021-09-27,0.76,2021-09-27,0.726,0.794
2021-09-10,2021-09-13,0.73,2021-09-13,0.696,0.764
2021-08-27,2021-08-30,0.72,2021-08-30,0.6859999999999999,0.754
2021-08-13,2021-08-16,0.7,2021-08-16,0.6659999999999999,0.734
2021-07-30,2021-08-02,0.7,2021-08-02,0.6659999999999999,0.734
2021-07-16,2021-07-19,0.69,2021-07-19,0.6559999999999999,0.724
2021-06-25,2021-06-28,0.68,2021-06-28,0.646,0.7140000000000001
2021-06-04,2021-06-07,0.66,2021-06-07,0.626,0.6940000000000001
2021-05-21,2021-05-24,0.65,2021-05-24,0.616,0.684
2021-05-07,2021-05-10,0.64,2021-05-10,0.606,0.674
2021-04-16,2021-04-19,0.56,2021-04-19,0.526,0.5940000000000001
2021-04-02,2021-04-05,0.47,2021-04-05,0.43599999999999994,0.504
2021-03-19,2021-03-22,0.36,2021-03-22,0.32599999999999996,0.394
2021-03-05,2021-03-08,0.25,2021-03-08,0.216,0.28400000000000003
2021-02-26,2021-03-01,0.23,2021-03-01,0.196,0.264
2021-02-19,2021-02-22,0.19,2021-02-22,0.156,0.224
2021-02-05,2021-02-08,0.15,2021-02-08,0.11599999999999999,0.184
2021-01-29,2021-02-01,0.13,2021-02-01,0.096,0.164
2021-01-22,2021-01-25,0.09,2021-01-25,0.055999999999999994,0.124
2021-01-08,2021-01-11,0.03,2021-01-11,-0.0040000000000000036,0.064
