"data","model","MSE","MCSE"
"const","const",0.0238157799436169,0.000899454945294418
"const","linear",0.0518924854684816,0.00194699400059672
"const","walk",0.0281531906888006,0.00107301102897223
"linear","const",0.302203285095593,0.0108929992165536
"linear","linear",0.0548678466703782,0.00201739273735135
"linear","walk",0.0763922410233092,0.00286965903509354
"walk","const",0.330424343694559,0.0170585783675815
"walk","linear",0.144661925918628,0.00674391672248812
"walk","walk",0.0835106766850839,0.00327369915548911
"const","unbiased",0.12533814920756,0.00466430955761344
"linear","unbiased",0.128121657747504,0.00459535570160409
"walk","unbiased",0.135451018037766,0.00498532837190257
